az_std,az_p2p,az_kurtosis,az_skew,az_rms,az_zcr,gx_std,gy_std,gz_std,ax_std,ay_std,speed_mean,speed_max,lat,lon,timestamp
50.435248445053645,124,-1.1986860418784158,-0.4212826253734438,15715.57081368666,5,14.547950272902954,9.365590516047865,15.775206586829311,40.422765862815474,17.76030887762292,0.0,0.0,12.969813,79.164851,237279
38.12760529739949,116,-0.6677346623946838,0.3703212338343689,15748.040386028986,2,15.900920907742599,10.862780491200215,19.033335418230227,39.46788929895144,36.0951124510943,0.0,0.0,12.969813,79.164851,238182
81.84829171792687,232,-1.1257530586305242,-0.1483446430124385,15719.686447254602,4,14.139610016848817,9.051440295807703,19.849433241279208,47.17141991866322,36.41035959331198,0.0,0.0,12.969813,79.164851,239083
91.62501218086062,232,-1.4857792141147625,-0.14871587437189365,15727.733530296093,3,19.108244294021365,14.995237339140147,18.01388353465182,48.72957447558339,45.47840932009072,0.0,0.0,12.969813,79.164851,239981
52.58734231189642,144,-1.1784267122584118,-0.2243828629380413,15761.576761225382,2,23.81326161136749,14.64581851587681,12.317235311314212,62.44540472627727,66.0994921095681,0.0,0.0,12.969813,79.164851,240886
27.95915388051444,100,0.4840463732430491,0.40248374363256445,15750.021714270746,6,18.95860151563325,19.99821420598778,17.002100710542464,62.73527146441853,67.94956112546171,0.0,0.0,12.969813375000001,79.164850625,241788
17.687768170607132,56,0.113927566147495,0.833075550827172,15756.50868688873,3,18.015866023353652,22.595432534664422,19.268312254654198,45.22641453209143,66.83027543176607,0.0,0.0,12.969813875,79.164850125,242686
39.94281626811724,128,0.08887447557901806,-0.9589165824588329,15744.044334287171,3,18.12604676780272,9.963325606586244,12.933207534979756,39.47874654255665,50.08564094200481,0.0,0.0,12.969814,79.16485,243588
39.44978725273071,112,-0.3745924350237644,-0.8934868689400568,15740.543256190365,5,10.295630140987,17.074939866030903,15.491357037301247,34.768622964637856,14.957081457098699,0.0,0.0,12.969814,79.16485,244490
20.921622444597496,56,-0.44419145266516225,-1.1358879304017944,15759.012151781595,3,17.18803570593718,17.998015763649377,15.636495771111889,45.553735929590424,34.86709459812053,0.0,0.0,12.969814125,79.16485,245394
73.38353260195953,260,1.259903551529023,-1.1779976098691358,15744.149643597777,3,16.654042838216277,20.584321356660894,10.152409988344077,33.1877774403254,44.43936478908247,0.0,0.0,12.969814625,79.16485,246295
89.89994438263018,260,-1.033325815658953,-0.3480769590722617,15734.724719549433,4,13.824796562698491,19.802146348312853,17.170884826190107,8.668497975016038,25.562248950915322,0.0,0.0,12.969815,79.16485,247200
65.89168601359572,164,-1.5735952735792194,-0.2633893291268545,15751.120595056087,4,14.475965302133444,22.416511771459895,18.527489229327788,24.471557834701553,30.612789110808855,0.0,0.0,12.969815,79.16485,248100
76.83563161524921,232,-0.1272837100882498,0.834099074916611,15776.663715754356,5,16.75879300120217,22.064839515780367,14.899065167222501,42.62460724578167,26.5329983228432,0.0,0.0,12.969815,79.16485,249006
96.28529037634536,264,-1.0855070434041758,0.6054031327472008,15776.257097296557,3,12.088217403736582,16.071269840485982,16.654042838216277,50.8105725780992,44.683010513744804,0.0,0.0,12.969815,79.16485,249904
74.66305263362482,240,1.8024766060127577,1.7053538093425835,15731.655030542717,2,6.926914382114366,21.523658079956046,16.388149028228554,40.383872311321795,59.46187253790689,0.0,0.0,12.969815,79.16485,250804
45.40610405787184,160,0.5935123229482646,0.7605103420157235,15704.057437490477,3,15.62964216755183,20.8836060104571,11.74734012447073,33.05406826052474,39.191835884530846,0.0,0.0,12.969815,79.16485,251708
60.490849367014654,184,-0.9317328236273048,-0.18416761162650158,15735.601736190452,3,20.566529674622863,21.06071156035739,10.992692377861108,30.08084345322024,58.55156457589937,0.0,0.0,12.969815,79.16485,252606
43.44783407391312,132,-0.6789016121409364,0.41787965495055035,15742.552461402185,2,24.156853508447067,19.338617914865136,13.410417059669909,38.303300864845276,62.84447924383312,0.0,0.0,12.96981525,79.16485,253516
34.12581762495118,104,-0.6978131882842287,0.53325884297993,15707.032437733105,4,23.369317491103587,17.10471948239516,14.302222604496526,37.26354020448713,34.52535300326414,0.0,0.0,12.969815749999999,79.16485,254417
71.63199604326866,228,0.9450212617332632,-1.25215822634966,15667.643281617055,4,11.698595764327566,19.04130847844834,14.070612739221518,105.15294982615968,44.11672828174948,0.0,0.0,12.969816,79.16485,255320
113.57565131412882,352,-0.5024171293296438,0.20578347368484154,15665.36025758744,4,21.52573210966686,44.7722410811495,20.72955102539092,114.2628548566856,148.90073395194725,0.0,0.0,12.969816,79.16485,256220
122.91576674408256,364,-0.44202756419108136,-0.7431598305736067,15757.919469270048,2,27.257698781392808,56.87187982022147,21.239703387759445,53.36665625650534,132.7672506951276,0.0,0.0,12.969816,79.16485,257127
55.66224675923273,160,-0.8379547456221976,0.6314364238236431,15793.085828931597,2,26.547800554579176,49.72046862208762,12.028982856893121,53.127878073299975,78.75459170286972,0.0,0.0,12.969816,79.16485,258024
43.437968908054884,128,-1.0242882734286178,-0.2526673309121064,15767.052356100046,4,17.06290881247559,27.09210480669863,17.795966637736445,47.65351133817048,67.7727294502948,0.0,0.0,12.969816,79.16485,258923
52.78257288158659,172,-0.4010635619668963,-0.48494964425427783,15792.577180435117,2,35.61475416573466,44.48896331836534,9.498120114753535,28.903781265235374,86.70310589262978,0.0,0.0,12.969816375,79.164850375,259830
99.86133242795088,308,-0.4827520836191175,0.7026986192854794,15843.775370788366,3,32.71849629796577,39.99799102097862,8.043409014306594,31.350552512789037,119.48460749641114,0.0,0.0,12.969816875,79.164850875,260730
121.25887301849002,340,-1.176901694477985,0.44177431368564013,15828.906405687034,3,18.535198176134276,11.84422704467093,12.637811745483699,36.437813953560465,76.78541528180986,0.0,0.0,12.969817,79.164851,261636
80.51264319525049,232,-0.7253034230456294,0.7866217746733872,15778.179742923452,4,26.299103732691293,17.116721147963556,16.578816087318867,35.00204075683098,44.06488722003366,0.0,0.0,12.969817,79.164851,262537
58.74886017131372,196,1.0125327836498403,1.2876148555227525,15748.095884899863,2,19.456912102680338,12.322308457196067,9.982126884730384,59.63699714582742,38.9431820550328,0.0,0.0,12.969817,79.164851,263443
40.08205868679188,116,-1.1908359915920388,0.24112414366709667,15735.544668043747,4,11.157956802210698,11.646581350029592,7.872873862646528,61.111139971133156,35.70914248680381,0.0,0.0,12.969817,79.164851,264347
44.41042348689904,132,-1.0302561672415604,0.12669936679919241,15764.554735228014,3,8.713700214522612,17.3699247469379,16.079601096686805,24.166091947189145,37.690468670095214,0.0,0.0,12.969817,79.164851,265251
